0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,class
-133.43478260869563,-113.43478260869564,-92.43478260869564,-73.43478260869563,-54.434782608695635,-37.434782608695635,-25.43478260869563,-15.434782608695626,-12.434782608695626,-14.434782608695626,-25.43478260869563,-37.434782608695635,-53.434782608695635,-71.43478260869563,-91.43478260869564,-111.43478260869564,-132.43478260869563,-157.43478260869563,-165.43478260869563,-165.43478260869563,-163.43478260869563,-157.43478260869563,-157.43478260869563,-163.43478260869563,-165.43478260869563,-162.43478260869563,-153.43478260869563,-137.43478260869563,-124.43478260869564,-112.43478260869564,-99.43478260869564,-85.43478260869563,-83.43478260869563,-82.43478260869563,-82.43478260869563,-84.43478260869563,1
-130.6521739130435,-110.6521739130435,-89.6521739130435,-69.6521739130435,-50.6521739130435,-33.6521739130435,-20.652173913043498,-9.652173913043498,-6.652173913043496,-9.652173913043498,-20.652173913043498,-33.6521739130435,-50.6521739130435,-68.6521739130435,-88.6521739130435,-109.6521739130435,-130.6521739130435,-154.6521739130435,-162.6521739130435,-162.6521739130435,-160.6521739130435,-155.6521739130435,-156.6521739130435,-161.6521739130435,-163.6521739130435,-160.6521739130435,-152.6521739130435,-135.6521739130435,-121.6521739130435,-108.6521739130435,-94.6521739130435,-82.6521739130435,-79.6521739130435,-77.6521739130435,-78.6521739130435,-80.6521739130435,1
-143.6521739130435,-123.6521739130435,-103.6521739130435,-84.6521739130435,-65.6521739130435,-49.6521739130435,-36.6521739130435,-25.652173913043494,-22.652173913043494,-25.652173913043494,-35.6521739130435,-48.6521739130435,-64.6521739130435,-82.6521739130435,-101.6521739130435,-122.6521739130435,-143.6521739130435,-168.6521739130435,-175.65217391304353,-176.65217391304353,-174.65217391304353,-169.6521739130435,-169.6521739130435,-175.65217391304353,-177.65217391304353,-174.65217391304353,-166.6521739130435,-149.6521739130435,-136.6521739130435,-124.6521739130435,-112.6521739130435,-97.6521739130435,-95.6521739130435,-93.6521739130435,-95.6521739130435,-96.6521739130435,1
-166.3478260869565,-147.3478260869565,-129.3478260869565,-111.3478260869565,-95.3478260869565,-81.3478260869565,-70.3478260869565,-60.3478260869565,-57.3478260869565,-60.3478260869565,-69.3478260869565,-79.3478260869565,-93.3478260869565,-109.3478260869565,-128.3478260869565,-147.3478260869565,-165.3478260869565,-191.34782608695647,-198.34782608695647,-200.34782608695647,-199.34782608695647,-194.34782608695647,-194.34782608695647,-199.34782608695647,-200.34782608695647,-197.34782608695647,-188.34782608695647,-176.34782608695647,-165.3478260869565,-155.3478260869565,-144.3478260869565,-128.3478260869565,-126.3478260869565,-125.3478260869565,-126.3478260869565,-127.3478260869565,0
-171.56521739130437,-153.56521739130437,-135.56521739130437,-117.56521739130436,-100.56521739130436,-86.56521739130437,-75.56521739130437,-66.56521739130437,-63.565217391304365,-65.56521739130437,-74.56521739130437,-84.56521739130437,-98.56521739130436,-113.56521739130436,-131.56521739130437,-150.56521739130437,-168.56521739130437,-195.5652173913044,-202.5652173913044,-204.5652173913044,-202.5652173913044,-198.5652173913044,-198.5652173913044,-203.5652173913044,-204.5652173913044,-201.5652173913044,-192.5652173913044,-180.5652173913044,-170.56521739130437,-159.56521739130437,-149.56521739130437,-133.56521739130437,-132.56521739130437,-131.56521739130437,-131.56521739130437,-132.56521739130437,0
-171.56521739130437,-153.56521739130437,-136.56521739130437,-119.56521739130436,-103.56521739130436,-89.56521739130437,-77.56521739130437,-67.56521739130437,-63.565217391304365,-65.56521739130437,-74.56521739130437,-84.56521739130437,-98.56521739130436,-113.56521739130436,-132.56521739130437,-151.56521739130437,-170.56521739130437,-193.5652173913044,-201.5652173913044,-203.5652173913044,-201.5652173913044,-196.5652173913044,-196.5652173913044,-202.5652173913044,-204.5652173913044,-201.5652173913044,-192.5652173913044,-179.56521739130437,-168.56521739130437,-158.56521739130437,-146.56521739130437,-132.56521739130437,-130.56521739130437,-129.56521739130437,-130.56521739130437,-131.56521739130437,0
-171.56521739130437,-153.56521739130437,-134.56521739130437,-116.56521739130436,-99.56521739130436,-85.56521739130437,-73.56521739130437,-64.56521739130437,-60.565217391304365,-62.565217391304365,-72.56521739130437,-82.56521739130437,-96.56521739130436,-112.56521739130436,-131.56521739130437,-150.56521739130437,-169.56521739130437,-194.5652173913044,-202.5652173913044,-203.5652173913044,-202.5652173913044,-198.5652173913044,-198.5652173913044,-203.5652173913044,-204.5652173913044,-201.5652173913044,-192.5652173913044,-179.56521739130437,-168.56521739130437,-158.56521739130437,-148.56521739130437,-132.56521739130437,-131.56521739130437,-130.56521739130437,-130.56521739130437,-131.56521739130437,0
-169.56521739130437,-151.56521739130437,-132.56521739130437,-114.56521739130436,-97.56521739130436,-83.56521739130437,-72.56521739130437,-62.565217391304365,-58.565217391304365,-61.565217391304365,-69.56521739130437,-80.56521739130437,-94.56521739130436,-110.56521739130436,-129.56521739130437,-149.56521739130437,-168.56521739130437,-192.5652173913044,-201.5652173913044,-202.5652173913044,-201.5652173913044,-197.5652173913044,-197.5652173913044,-202.5652173913044,-204.5652173913044,-201.5652173913044,-192.5652173913044,-179.56521739130437,-168.56521739130437,-157.56521739130437,-146.56521739130437,-131.56521739130437,-130.56521739130437,-129.56521739130437,-129.56521739130437,-130.56521739130437,0
-168.56521739130437,-149.56521739130437,-130.56521739130437,-112.56521739130436,-95.56521739130436,-80.56521739130437,-68.56521739130437,-58.565217391304365,-54.565217391304365,-56.565217391304365,-65.56521739130437,-76.56521739130437,-91.56521739130436,-107.56521739130436,-126.56521739130436,-146.56521739130437,-165.56521739130437,-190.5652173913044,-198.5652173913044,-199.5652173913044,-197.5652173913044,-192.5652173913044,-193.5652173913044,-198.5652173913044,-200.5652173913044,-197.5652173913044,-188.5652173913044,-175.56521739130437,-163.56521739130437,-151.56521739130437,-139.56521739130437,-125.56521739130436,-123.56521739130436,-122.56521739130436,-123.56521739130436,-125.56521739130436,0
-172.7826086956522,-153.7826086956522,-133.7826086956522,-115.7826086956522,-97.7826086956522,-81.78260869565219,-69.78260869565219,-60.78260869565218,-56.78260869565218,-59.78260869565218,-68.78260869565219,-80.78260869565219,-94.7826086956522,-111.7826086956522,-130.7826086956522,-150.7826086956522,-169.7826086956522,-194.7826086956522,-201.7826086956522,-203.7826086956522,-201.7826086956522,-196.7826086956522,-196.7826086956522,-201.7826086956522,-203.7826086956522,-201.7826086956522,-192.7826086956522,-178.7826086956522,-167.7826086956522,-156.7826086956522,-144.7826086956522,-129.7826086956522,-128.7826086956522,-127.7826086956522,-127.7826086956522,-128.7826086956522,0
